初始基址	EN_NAME	名称	JP_NAME	激活		ID		等级		特性		EXP				技能1		技能2		技能3		技能4		技能5		技能6		技能7		技能8		力	魔	耐	速	运														
main+02275B80	Valkyrie	女武神	ヴァルキリー	01	00	13	00	2C	00	49	00	00	00	00	00	DD	00	21	03	00	00	00	00	00	00	00	00	00	00	00	00	21	18	1C	1D	19	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275BB0	Vasuki	婆苏吉	ヴァスキ	01	00	2B	01	44	00	11	00	00	00	00	00	35	00	61	00	E1	00	00	00	00	00	00	00	00	00	00	00	2A	2D	2C	2A	26	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275BE0	Vishnu	毗湿奴	ヴィシュヌ	01	00	A6	00	53	00	A3	00	00	00	00	00	48	00	23	00	59	03	00	00	00	00	00	00	00	00	00	00	38	33	31	39	2B	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275C10	Vohu Manah	瓦胡・马纳	ウォフ・マナフ	01	00	4B	01	50	00	B5	00	00	00	00	00	A0	00	D3	03	3B	00	00	00	00	00	00	00	00	00	00	00	2E	3B	2D	38	29	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275C40	White Rider	白骑土	ホワイトライダー	01	00	1C	01	26	00	BB	00	00	00	00	00	E1	00	54	00	14	01	00	00	00	00	00	00	00	00	00	00	16	15	1A	1B	19	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275C70	Yaksini	母夜叉	ヤクシニー	01	00	14	00	14	00	4E	00	00	00	00	00	0A	01	5D	00	20	03	00	00	00	00	00	00	00	00	00	00	0E	0B	0D	10	0D	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275CA0	Yamata-no-Orochi	八岐大蛇	ヤマタノオロチ	01	00	34	00	40	00	18	00	00	00	00	00	E2	00	19	00	AD	03	00	00	00	00	00	00	00	00	00	00	2C	26	30	24	21	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275CD0	Yatagarasu	八咫乌	ヤタガラス	01	00	56	00	39	00	B2	00	00	00	00	00	78	01	63	01	00	00	00	00	00	00	00	00	00	00	00	00	23	29	1E	28	20	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275D00	Yoshitsune	义经	ヨシツネ	01	00	57	00	57	00	3E	00	00	00	00	00	D4	00	68	01	2A	00	00	00	00	00	00	00	00	00	00	00	3F	34	32	36	31	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275D30	Yurlungur	虹蛇	ユルング	01	00	A8	00	2B	00	AF	00	00	00	00	00	61	00	2C	00	47	00	00	00	00	00	00	00	00	00	00	00	1A	1D	1E	1B	18	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275D60	Zaou-Gongen	藏王权现	ザオウゴンゲン	01	00	2E	00	50	00	3A	00	00	00	00	00	0F	00	5F	00	CB	00	00	00	00	00	00	00	00	00	00	00	39	2D	32	38	27	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02275D90	Zouchouten	增长天王	ゾウチョウテン	01	00	18	01	1F	00	A0	00	00	00	00	00	CF	00	29	00	00	00	00	00	00	00	00	00	00	00	00	00	16	13	18	12	11	00	00	00	00	00	00	00	00	00	00	00	00	00	00
